iter	RMSE
0	139.1373605
1	137.7856935
2	136.5018383
3	135.4408974
4	134.4540771
5	133.5095456
6	132.7425223
7	132.0809971
8	131.4682246
9	130.9154843
10	130.4120063
11	129.8689183
12	129.3959794
13	128.9933532
14	128.4899006
15	128.1694053
16	127.7799073
17	127.4319955
18	127.1575826
19	126.9060344
20	126.6864333
21	126.4166147
22	126.1571459
23	125.9322331
24	125.748977
25	125.6201319
26	125.3615968
27	125.1361787
28	124.923997
29	124.8005729
30	124.610994
31	124.4901088
32	124.3401922
33	124.2648949
34	124.1693366
35	124.0875914
36	123.9882409
37	123.7340521
38	123.6639988
39	123.5903113
40	123.4605516
41	123.3386348
42	123.2422633
43	123.1257125
44	123.1065438
45	122.9434665
46	122.8774652
47	122.8145381
48	122.6951335
49	122.6363941
50	122.5024203
51	122.4342789
52	122.4126035
53	122.4003248
54	122.3904853
55	122.3551594
56	122.2989926
57	122.2942961
58	122.2193253
59	122.106633
60	122.0481135
61	121.9878813
62	121.9789267
63	121.9548329
64	121.9102679
65	121.8959331
66	121.8494344
67	121.7692323
68	121.6963225
69	121.5931752
70	121.5372537
71	121.5236664
72	121.4816395
73	121.4519203
74	121.4438134
75	121.4385081
76	121.3729145
77	121.3598546
78	121.3582274
79	121.3370606
80	121.3313742
81	121.2685459
82	121.1349393
83	121.0353463
84	121.0216992
85	121.0055003
86	120.9879813
87	120.9869594
88	120.961508
89	120.9555668
90	120.8828999
91	120.839931
92	120.797977
93	120.7764481
94	120.7647233
95	120.7467097
96	120.7201705
97	120.7121436
98	120.6890105
99	120.637375
100	120.5675685
101	120.5673947
102	120.5646865
103	120.5395329
104	120.531733
105	120.4900392
106	120.4078129
107	120.3924109
108	120.3544213
109	120.2191433
110	120.1615975
111	120.1344611
112	120.0667522
113	120.0311957
114	119.9560837
115	119.9428636
116	119.9324179
117	119.9235323
118	119.9149975
119	119.8989681
120	119.8623172
121	119.852293
122	119.8349189
123	119.8299755
124	119.8054675
125	119.7599189
126	119.7453303
127	119.7389926
128	119.715641
129	119.6209739
130	119.6087026
131	119.6029808
132	119.5827243
133	119.5661124
134	119.5450002
135	119.5195783
136	119.5059292
137	119.4486074
138	119.439831
139	119.4251851
140	119.4137268
141	119.3954587
142	119.3133372
143	119.3052448
144	119.2510703
145	119.2237811
146	119.1974762
147	119.1817192
148	119.1634336
149	119.1095413
150	119.0139575
151	118.9229348
152	118.8947132
153	118.8822073
154	118.8797165
155	118.8115794
156	118.8050558
157	118.7919448
158	118.7877513
159	118.7841949
160	118.7692387
161	118.7591057
162	118.754077
163	118.7173662
164	118.7113961
165	118.6885566
166	118.6266802
167	118.5974177
168	118.5587625
169	118.5111422
170	118.4961468
171	118.4552791
172	118.4470408
173	118.4405555
174	118.4072896
175	118.3993226
176	118.2871501
177	118.284372
178	118.2351504
179	118.1035516
180	118.0749182
181	118.0411443
182	118.0208259
183	117.9774681
184	117.955884
185	117.9532699
186	117.9430882
187	117.9296633
188	117.8751835
189	117.8611561
190	117.8511428
191	117.8348529
192	117.8238009
193	117.8186034
194	117.8106534
195	117.7948761
196	117.7899031
197	117.7365923
198	117.7329768
199	117.7232222
200	117.6746326
201	117.6579083
202	117.6526986
203	117.6504149
204	117.6426008
205	117.6357685
206	117.6008407
207	117.5678568
208	117.5350359
209	117.5192202
210	117.3823553
211	117.2443871
212	117.0721785
213	117.02315
214	117.0149126
215	117.0039443
216	116.9478073
217	116.9433915
218	116.9377477
219	116.9189114
220	116.9086942
221	116.8422943
222	116.8101433
223	116.7988491
224	116.7720331
225	116.7602642
226	116.7536441
227	116.7466338
228	116.731606
229	116.7098862
230	116.7041908
231	116.6973979
232	116.6824038
233	116.6717946
234	116.6579829
235	116.6158873
236	116.5793476
237	116.4978012
238	116.4926796
239	116.4577018
240	116.4418185
241	116.4330409
242	116.3970495
243	116.3162179
244	116.2823973
245	116.2790113
246	116.2563284
247	116.2507776
248	116.2312052
249	116.2043387
250	116.1388982
251	116.1149102
252	116.1059848
253	116.0677814
254	116.0564411
255	116.0326932
256	115.9269595
257	115.9063197
258	115.8865364
259	115.8392982
260	115.8278235
261	115.8269402
262	115.8185513
263	115.8092084
264	115.6852678
265	115.6808437
266	115.677605
267	115.6303833
268	115.6273452
269	115.6157278
270	115.5802588
271	115.571268
272	115.5418883
273	115.5346626
274	115.5252548
275	115.5003213
276	115.4778744
277	115.4696949
278	115.4621648
279	115.4479293
280	115.4118233
281	115.3864702
282	115.3699126
283	115.3483389
284	115.2939086
285	115.2843875
286	115.2753922
287	115.251307
288	115.1517204
289	115.1004664
290	115.000243
291	114.9549109
292	114.9433842
293	114.9374251
294	114.8522873
295	114.8472565
296	114.8313637
297	114.8191249
298	114.7893881
299	114.7879513
300	114.7586543
301	114.7445063
302	114.7370356
303	114.7333062
304	114.7216158
305	114.7188103
306	114.6978123
307	114.649925
308	114.594727
309	114.4979932
310	114.4860602
311	114.4634007
312	114.4469182
313	114.4000691
314	114.3783118
315	114.3640791
316	114.3582674
317	114.2985598
318	114.2810244
319	114.2720325
320	114.2713742
321	114.2604727
322	114.2137138
323	114.180155
324	114.1431086
325	114.0997668
326	114.0824448
327	114.0570523
328	114.0418752
329	113.9653958
330	113.9459503
331	113.9350915
332	113.9254274
333	113.920626
334	113.8685454
335	113.850206
336	113.8421663
337	113.8359451
338	113.8182404
339	113.8018467
340	113.7956571
341	113.7572808
342	113.7479862
343	113.6979715
344	113.6839137
345	113.6786287
346	113.6747799
347	113.6502035
348	113.641985
349	113.6122315
350	113.5836383
351	113.5767557
352	113.5280218
353	113.5074198
354	113.4853959
355	113.4267272
356	113.3868379
357	113.3590785
358	113.3194891
359	113.3057811
360	113.2906646
361	113.2283304
362	113.2213524
363	113.2046453
364	113.1769244
365	113.1540245
366	113.1401907
367	113.1066125
368	113.0596626
369	113.0173943
370	113.0105557
371	112.8981038
372	112.8776332
373	112.869233
374	112.8218657
375	112.735489
376	112.7184683
377	112.6135352
378	112.5807082
379	112.4767785
380	112.418796
381	112.373664
382	112.3663842
383	112.3359897
384	112.2992137
385	112.2790087
386	112.2082166
387	112.1612988
388	112.1376431
389	112.108959
390	112.1044498
391	112.0916757
392	112.0797638
393	112.0723675
394	112.0712066
395	112.0563515
396	112.043782
397	111.9940451
398	111.9928633
399	111.9587989
400	111.944682
401	111.9368499
402	111.9214252
403	111.9185285
404	111.844539
405	111.8377243
406	111.8295791
407	111.8126825
408	111.7767861
409	111.7730494
410	111.7514285
411	111.7276693
412	111.6884593
413	111.6632798
414	111.6358381
415	111.6223667
416	111.5532812
417	111.5491376
418	111.5488713
419	111.5260069
420	111.4668757
421	111.4662012
422	111.4652138
423	111.458812
424	111.4553674
425	111.4492714
426	111.4142976
427	111.406679
428	111.4059281
429	111.335775
430	111.3345482
431	111.2940307
432	111.2218711
433	111.2200383
434	111.2191764
435	111.2118048
436	111.2065752
437	111.1654796
438	111.1571085
439	111.1257582
440	111.0606716
441	111.0554383
442	111.0409286
443	110.9650467
444	110.9188738
445	110.9179269
446	110.8655261
447	110.8381368
448	110.7968096
449	110.7778779
450	110.775259
451	110.7444202
452	110.6934619
453	110.6852102
454	110.6826296
455	110.6812888
456	110.6728578
457	110.6688163
458	110.6630091
459	110.6105919
460	110.5861742
461	110.5324956
462	110.450896
463	110.4165026
464	110.3976009
465	110.3467966
466	110.335044
467	110.3312109
468	110.3275426
469	110.3158446
470	110.3107857
471	110.3056998
472	110.3031007
473	110.2873161
474	110.2799994
475	110.2777331
476	110.2286431
477	110.2161883
478	110.2145183
479	110.208561
480	110.1757718
481	110.1747585
482	110.1527977
483	110.1183256
484	110.1150594
485	110.1005688
486	110.0952816
487	110.0729569
488	110.016505
489	110.0147672
490	109.9966609
491	109.949967
492	109.9370588
493	109.9249985
494	109.903804
495	109.8703129
496	109.864676
497	109.8621814
498	109.8525963
499	109.8453703
