iter	Passed	Remaining
0	112	55971
1	224	55882
2	355	58919
3	474	58883
4	598	59218
5	718	59195
6	822	57942
7	930	57235
8	1041	56821
9	1151	56403
10	1264	56194
11	1372	55834
12	1481	55495
13	1591	55237
14	1704	55114
15	1821	55100
16	1945	55280
17	2052	54953
18	2161	54721
19	2408	57810
20	2531	57748
21	2640	57376
22	2749	57026
23	2868	56885
24	2978	56594
25	3094	56419
26	3194	55970
27	3293	55520
28	3409	55377
29	3522	55190
30	3636	55018
31	3757	54958
32	3869	54760
33	3987	54646
34	4101	54497
35	4218	54373
36	4328	54167
37	4424	53792
38	4534	53605
39	4651	53489
40	4769	53399
41	4884	53265
42	4998	53125
43	5116	53026
44	5231	52894
45	5349	52796
46	5458	52614
47	5565	52411
48	5663	52125
49	5778	52002
50	5891	51870
51	6004	51732
52	6113	51564
53	6240	51544
54	6296	50946
55	6413	50846
56	6527	50735
57	6581	50154
58	6715	50194
59	6812	49955
60	6921	49808
61	7036	49707
62	7099	49245
63	7216	49163
64	7343	49143
65	7458	49047
66	7567	48905
67	7666	48702
68	7758	48462
69	7853	48245
70	7950	48038
71	8045	47826
72	8138	47603
73	8239	47430
74	8339	47255
75	8391	46816
76	8481	46593
77	8579	46416
78	8664	46172
79	8789	46142
80	8899	46034
81	9004	45901
82	9125	45849
83	9237	45746
84	9344	45625
85	9460	45540
86	9565	45410
87	9585	44875
88	9722	44898
89	9900	45100
90	10004	44963
91	10126	44910
92	10245	44838
93	10348	44697
94	10408	44373
95	10512	44241
96	10611	44085
97	10650	43689
98	10762	43592
99	10857	43430
100	10955	43278
101	10983	42858
102	11020	42478
103	11127	42371
104	11165	42004
105	11273	41902
106	11393	41848
107	11507	41769
108	11629	41718
109	11742	41632
110	11843	41504
111	11942	41371
112	12047	41259
113	12150	41139
114	12245	40996
115	12351	40886
116	12450	40756
117	12549	40624
118	12644	40484
119	12746	40365
120	12842	40225
121	12938	40089
122	13031	39941
123	13067	39625
124	13173	39519
125	13271	39392
126	13368	39262
127	13470	39150
128	13570	39027
129	13668	38902
130	13760	38760
131	13859	38637
132	13957	38515
133	14053	38384
134	14154	38268
135	14250	38141
136	14365	38064
137	14482	37990
138	14582	37871
139	14681	37751
140	14777	37624
141	14905	37578
142	15009	37471
143	15102	37336
144	15198	37209
145	15293	37082
146	15389	36955
147	15486	36833
148	15616	36787
149	15713	36665
150	15816	36556
151	15913	36433
152	16010	36310
153	16107	36189
154	16206	36072
155	16306	35958
156	16403	35837
157	16502	35721
158	16597	35595
159	16694	35475
160	16787	35347
161	16883	35226
162	16977	35100
163	17077	34987
164	17185	34892
165	17284	34777
166	17389	34675
167	17491	34567
168	17598	34468
169	17718	34394
170	17832	34309
171	17941	34214
172	18060	34138
173	18176	34055
174	18276	33942
175	18372	33821
176	18480	33724
177	18615	33675
178	18725	33580
179	18836	33487
180	18942	33384
181	19051	33288
182	19246	33340
183	19364	33257
184	19429	33083
185	19547	32999
186	19668	32921
187	19790	32843
188	19903	32751
189	20011	32650
190	20117	32546
191	20223	32441
192	20333	32343
193	20405	32186
194	20502	32068
195	20596	31945
196	20704	31844
197	20799	31725
198	20894	31604
199	21003	31504
200	21131	31434
201	21238	31332
202	21359	31250
203	21476	31161
204	21580	31054
205	21677	30937
206	21776	30823
207	21871	30704
208	21966	30584
209	22064	30469
210	22174	30372
211	22291	30282
212	22408	30194
213	22521	30099
214	22638	30009
215	22754	29918
216	22864	29819
217	22978	29724
218	23075	29608
219	23190	29515
220	23306	29423
221	23429	29340
222	23665	29396
223	23791	29314
224	23902	29214
225	24016	29117
226	24131	29021
227	24238	28916
228	24346	28811
229	24460	28715
230	24578	28621
231	24691	28522
232	24810	28430
233	24928	28338
234	25051	28249
235	25169	28155
236	25279	28052
237	25389	27949
238	25494	27841
239	25613	27748
240	25739	27662
241	25867	27577
242	25988	27485
243	26115	27400
244	26239	27310
245	26361	27218
246	26507	27151
247	26626	27055
248	26761	26976
249	26885	26885
250	27012	26797
251	27138	26707
252	27266	26620
253	27397	26534
254	27527	26447
255	27647	26351
256	27770	26257
257	27885	26156
258	28008	26061
259	28135	25970
260	28276	25892
261	28409	25807
262	28525	25705
263	28643	25605
